Gene,Tissue,Spearman_Rho,Cancer
A1BG,Normal,0.3240682788051209,CCRCC
A1BG,Tumor,0.05323817874859399,CCRCC
A1CF,Normal,0.7972119487908962,CCRCC
A1CF,Tumor,0.93811960417465,CCRCC
A2M,Normal,0.3066856330014225,CCRCC
A2M,Tumor,0.012375177512792192,CCRCC
AAAS,Normal,0.12597439544807965,CCRCC
AAAS,Tumor,0.21357888330365393,CCRCC
AACS,Normal,0.6708961593172119,CCRCC
AACS,Tumor,0.7428036877578162,CCRCC
AADAT,Normal,0.503470839260313,CCRCC
AADAT,Tumor,0.16256339742578274,CCRCC
AAGAB,Normal,0.2013655761024182,CCRCC
AAGAB,Tumor,0.6339832743502468,CCRCC
AAK1,Normal,0.5114082503556188,CCRCC
AAK1,Tumor,0.6493293961183869,CCRCC
AAMDC,Normal,0.43934566145092463,CCRCC
AAMDC,Tumor,0.6876045353109573,CCRCC
AAMP,Normal,0.30725462304409673,CCRCC
AAMP,Tumor,0.645479340892185,CCRCC
AAR2,Normal,-0.05388335704125178,CCRCC
AAR2,Tumor,0.3524333340847102,CCRCC
AARS2,Normal,0.3633285917496444,CCRCC
AARS2,Tumor,0.4964272028492212,CCRCC
AARSD1,Normal,0.013883299798792756,CCRCC
AARSD1,Tumor,0.1905181751769655,CCRCC
AASDH,Normal,-0.1981931112365895,CCRCC
AASDH,Tumor,-0.5695970695970696,CCRCC
AASDHPPT,Normal,0.35783783783783785,CCRCC
AASDHPPT,Tumor,0.5757185041588712,CCRCC
AASS,Normal,0.6375817923186344,CCRCC
AASS,Tumor,0.44140838085792217,CCRCC
AATF,Normal,0.1779800853485064,CCRCC
AATF,Tumor,0.3016522777990668,CCRCC
ABAT,Normal,0.8288477951635846,CCRCC
ABAT,Tumor,0.2709329846944526,CCRCC
ABCA1,Normal,0.03714673577687276,CCRCC
ABCA1,Tumor,0.17802197802197803,CCRCC
ABCA2,Normal,0.2127342825514372,CCRCC
ABCA2,Tumor,0.29893789378937896,CCRCC
ABCA3,Normal,0.3040322580645161,CCRCC
ABCA3,Tumor,-0.0735080679586784,CCRCC
ABCA5,Normal,0.6004901960784313,CCRCC
ABCA5,Tumor,0.16493506493506493,CCRCC
ABCA6,Normal,0.3169129720853859,CCRCC
ABCA6,Tumor,0.4905450500556173,CCRCC
ABCA8,Normal,0.30108047089179163,CCRCC
ABCA8,Tumor,0.36506479081821547,CCRCC
ABCB1,Normal,0.5598293029871977,CCRCC
ABCB1,Tumor,0.8211212046074431,CCRCC
ABCB10,Normal,0.35815078236130865,CCRCC
ABCB10,Tumor,0.302454748326308,CCRCC
ABCB6,Normal,0.3166998577524893,CCRCC
ABCB6,Tumor,0.5288957013727656,CCRCC
ABCB7,Normal,0.2215931721194879,CCRCC
ABCB7,Tumor,0.28691026305705203,CCRCC
ABCB8,Normal,0.4406543385490754,CCRCC
ABCB8,Tumor,0.4993485562292902,CCRCC
ABCC1,Normal,0.12207681365576102,CCRCC
ABCC1,Tumor,0.5420508081058539,CCRCC
ABCC10,Normal,0.2590299277605779,CCRCC
ABCC10,Tumor,0.3867871259175607,CCRCC
ABCC2,Normal,0.7700142247510668,CCRCC
ABCC2,Tumor,0.7320650091292293,CCRCC
ABCC3,Normal,0.5337126600284495,CCRCC
ABCC3,Tumor,0.7737754435002141,CCRCC
ABCC4,Normal,0.4718634423897582,CCRCC
ABCC4,Tumor,0.5844104321168542,CCRCC
ABCC5,Tumor,0.03896103896103896,CCRCC
ABCC6,Normal,0.8058321479374111,CCRCC
ABCC6,Tumor,0.6758830556995694,CCRCC
ABCD1,Normal,0.15780938833570413,CCRCC
ABCD1,Tumor,0.43251808939882336,CCRCC
ABCD3,Normal,0.6569559032716927,CCRCC
ABCD3,Tumor,0.5293825936027771,CCRCC
ABCD4,Normal,0.4954765291607397,CCRCC
ABCD4,Tumor,0.3397470865360774,CCRCC
ABCE1,Normal,0.18167852062588905,CCRCC
ABCE1,Tumor,0.3960372382390731,CCRCC
ABCF1,Normal,0.48819345661450925,CCRCC
ABCF1,Tumor,0.39638888262741473,CCRCC
ABCF3,Normal,0.6518918918918919,CCRCC
ABCF3,Tumor,0.538155670265762,CCRCC
ABCG1,Normal,0.2748221906116643,CCRCC
ABCG1,Tumor,0.6119919752947276,CCRCC
ABCG2,Normal,0.39488320355951056,CCRCC
ABCG2,Tumor,0.7118983957219251,CCRCC
ABHD10,Normal,0.6985775248933144,CCRCC
ABHD10,Tumor,0.533358880147871,CCRCC
ABHD11,Normal,-0.20955903271692744,CCRCC
ABHD11,Tumor,0.44185019047404367,CCRCC
ABHD12,Normal,0.40500711237553344,CCRCC
ABHD12,Tumor,0.49843788742871314,CCRCC
ABHD13,Normal,0.15866741953698477,CCRCC
ABHD13,Tumor,0.3038461538461538,CCRCC
ABHD14B,Normal,0.47786628733997155,CCRCC
ABHD14B,Tumor,0.5524829249599892,CCRCC
ABHD15,Normal,0.5713286713286714,CCRCC
ABHD15,Tumor,0.10911529560277719,CCRCC
ABHD16A,Normal,-0.20167852062588904,CCRCC
ABHD16A,Tumor,0.10487568469219845,CCRCC
ABHD17A,Normal,-0.09476276899144413,CCRCC
ABHD17A,Tumor,0.0016698900891551488,CCRCC
ABHD17B,Normal,0.2704084467907752,CCRCC
ABHD17B,Tumor,0.3275734791524265,CCRCC
ABHD2,Tumor,0.16176470588235295,CCRCC
ABHD3,Normal,-0.18345438582488627,CCRCC
ABHD3,Tumor,0.3264926733250711,CCRCC
